Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Sweet potato baked peel eaten made with margarine,2.02,20.88,3.3,0.072833333,0.103,0.102,1.487,0.414,0.006,0,18.4,0.0002,1.46,0.0067,37,54,27,0.94,0.31,0.183,0.0000002,457,205,0
Sweet potato baked peel not eaten NS as to fat,1.92,19.66,3.1,0.055708333,0.102,0.101,1.412,0.298,0.006,0,18.6,0,1.16,0.006,37,52,26,0.66,0.3,0.153,0.0000002,451,197,0
Sweet potato baked peel not eaten no added fat,2,20.63,3.3,0.039875,0.107,0.106,1.481,0.285,0.006,0,19.5,0,0.71,0.0023,38,54,27,0.69,0.32,0.16,0.0000002,473,190,0
Sweet potato baked peel not eaten fat added NS as to fat type,1.92,19.66,3.1,0.055708333,0.102,0.101,1.412,0.298,0.006,0,18.6,0,1.16,0.006,37,52,26,0.66,0.3,0.153,0.0000002,451,197,0
Sweet potato baked peel not eaten made with oil,1.91,19.65,3.1,0.038,0.102,0.101,1.411,0.271,0.006,0,18.6,0,1.23,0.0078,36,51,26,0.66,0.3,0.153,0.0000002,451,181,0
Sweet potato baked peel not eaten made with butter,1.95,19.65,3.1,0.071333333,0.102,0.102,1.413,0.271,0.006,0.00001,18.6,0,0.78,0.0025,37,52,26,0.66,0.31,0.153,0.0000002,452,212,0
Sweet potato baked peel not eaten made with margarine,1.92,19.69,3.1,0.075625,0.102,0.102,1.412,0.405,0.006,0,18.6,0.0002,1.53,0.0069,37,52,26,0.66,0.3,0.153,0.0000002,452,214,0
Sweet potato boiled NS as to fat,1.31,16.82,2.4,0.048833333,0.053,0.045,0.511,0.183,0.006,0,12.1,0,1.38,0.0058,26,31,17,0.69,0.19,0.089,0.0000002,219,188,0
Sweet potato boiled no added fat,1.36,17.65,2.5,0.032666667,0.056,0.047,0.536,0.164,0.006,0,12.7,0,0.94,0.0021,27,32,18,0.72,0.2,0.094,0.0000002,229,181,0
Sweet potato boiled fat added NS as to fat type,1.31,16.82,2.4,0.048833333,0.053,0.045,0.511,0.183,0.006,0,12.1,0,1.38,0.0058,26,31,17,0.69,0.19,0.089,0.0000002,219,188,0
Sweet potato boiled made with oil,1.3,16.81,2.4,0.031125,0.053,0.045,0.51,0.157,0.006,0,12.1,0,1.45,0.0076,26,30,17,0.69,0.19,0.089,0.0000002,218,173,0
Sweet potato boiled made with butter,1.34,16.82,2.4,0.064458333,0.053,0.046,0.512,0.157,0.006,0.00001,12.1,0,1,0.0023,27,31,17,0.68,0.19,0.089,0.0000002,219,203,0
Sweet potato boiled made with margarine,1.31,16.85,2.4,0.06875,0.054,0.046,0.511,0.29,0.006,0,12.2,0.0002,1.75,0.0067,27,31,17,0.68,0.19,0.089,0.0000002,220,205,0
Sweet potato candied,0.99,37.46,1.8,0.036916667,0.04,0.039,0.384,0.138,0.004,0,9.1,0,1.03,0.0044,20,23,13,0.53,0.15,0.069,0.0000003,165,142,0
Sweet potato canned NS as to fat,1.58,20.05,1.7,0.0335,0.035,0.055,0.704,0.207,0.016,0,25,0,1.43,0.0059,22,47,21,0.85,0.17,0.132,0.0000007,297,213,0
Sweet potato canned no added fat,1.64,21.04,1.8,0.016541667,0.037,0.057,0.738,0.189,0.017,0,26.3,0,1,0.0022,22,49,22,0.89,0.18,0.138,0.0000007,311,207,0
Sweet potato canned fat added,1.58,20.05,1.7,0.0335,0.035,0.055,0.704,0.207,0.016,0,25,0,1.43,0.0059,22,47,21,0.85,0.17,0.132,0.0000007,297,213,0
Sweet potato casserole or mashed,1.68,16.96,1.9,0.044333333,0.049,0.075,0.44,0.138,0.005,0.00004,10.1,0,0.78,0.0019,42,43,16,0.57,0.23,0.075,0.0000008,205,153,0
Sweet potato fries NFS,2.07,34.05,5.5,0.017291667,0.084,0.088,0.667,0.169,0.029,0,6.8,0,2.55,0.0157,50,56,25,0.75,0.36,0.169,0.0000004,391,140,0
Sweet potato chips,2.92,56.54,8.8,0.049083333,0.088,0.16,2.078,0.532,0.037,0,0,0,9.77,0.0244,59,144,65,2.11,0.53,0.41,0.0000021,920,227,0
Sweet potato fries NS as to fresh or frozen,2.07,34.05,5.5,0.017291667,0.084,0.088,0.667,0.169,0.029,0,6.8,0,2.55,0.0157,50,56,25,0.75,0.36,0.169,0.0000004,391,140,0
Sweet potato fries frozen fried,2.07,34.05,5.5,0.017291667,0.084,0.088,0.667,0.169,0.029,0,6.8,0,2.55,0.0157,50,56,25,0.75,0.36,0.169,0.0000004,391,140,0
Sweet potato fries frozen baked,2.27,37.45,6,0.019041667,0.092,0.097,0.734,0.186,0.032,0,7.5,0,1.57,0.0048,55,62,27,0.81,0.4,0.186,0.0000004,431,154,0
Sweet potato fries from fresh fried,1.74,17.95,2.9,0.034708333,0.093,0.092,1.289,0.248,0.005,0,17,0,2.14,0.0173,33,47,23,0.62,0.28,0.14,0.0000002,412,165,0
Sweet potato fries from fresh baked,1.82,18.76,3,0.03625,0.097,0.096,1.347,0.259,0.005,0,17.8,0,1.7,0.0128,35,49,24,0.64,0.29,0.146,0.0000002,430,173,0
Sweet potato fries fast food / restaurant,1.92,31.63,5.1,0.016083333,0.078,0.082,0.62,0.157,0.027,0,6.3,0,3,0.029,46,52,23,0.69,0.34,0.157,0.0000004,364,267,0
Sweet potato fries school,2.27,37.45,6,0.019041667,0.092,0.097,0.734,0.186,0.032,0,7.5,0,1.57,0.0048,55,62,27,0.81,0.4,0.186,0.0000004,431,154,0
Sweet potato tots NFS,2.12,34.87,5.6,0.017708333,0.086,0.09,0.683,0.173,0.03,0,7,0,2.26,0.0126,51,58,25,0.77,0.37,0.173,0.0000004,401,295,0
Sweet potato tots from frozen fried,2.12,34.87,5.6,0.017708333,0.086,0.09,0.683,0.173,0.03,0,7,0,2.26,0.0126,51,58,25,0.77,0.37,0.173,0.0000004,401,295,0
Sweet potato tots from frozen baked,2.26,37.3,6,0.018958333,0.092,0.096,0.731,0.186,0.032,0,7.5,0,1.56,0.0048,55,62,27,0.81,0.4,0.186,0.0000004,429,315,0
Sweet potato tots from frozen NS as to fried or baked,2.12,34.87,5.6,0.017708333,0.086,0.09,0.683,0.173,0.03,0,7,0,2.26,0.0126,51,58,25,0.77,0.37,0.173,0.0000004,401,295,0
Sweet potato tots fast food / restaurant,2.12,34.87,5.6,0.017708333,0.086,0.09,0.683,0.173,0.03,0,7,0,2.18,0.0152,51,58,25,0.76,0.37,0.173,0.0000004,401,295,0
Sweet potato tots school,2.27,37.45,6,0.019041667,0.092,0.097,0.734,0.186,0.032,0,7.5,0,1.57,0.0048,55,62,27,0.81,0.4,0.186,0.0000004,431,154,0
Sweet potato yellow Puerto Rican cooked,1.36,17.61,2.5,0.032583333,0.056,0.047,0.535,0.164,0.006,0,12.7,0,0.93,0.0021,27,32,18,0.72,0.2,0.093,0.0000002,229,271,0
Carrot soup cream of prepared with milk home recipe canned or ready-to-serve,1.6,5.01,1,0.028875,0.046,0.087,0.471,0.062,0.007,0.00014,2.4,0.0003,0.26,0.0143,50,44,8,0.18,0.24,0.024,0.0000008,169,209,0
Carrot with rice soup cream of prepared with milk home recipe canned or ready-to-serve,1.98,10.12,1,0.027125,0.074,0.084,0.726,0.069,0.017,0.00013,2.2,0.0003,0.26,0.0134,49,49,10,0.44,0.3,0.037,0.0000017,166,197,0
Squash winter type soup home recipe canned or ready-to-serve,0.5,4.37,1.3,0.026916667,0.008,0.036,0.232,0.076,0.009,0.00001,4.5,0,0.12,0.0022,14,11,7,0.21,0.12,0.044,0.0000003,115,330,0
Tomatoes raw,0.88,3.89,1.2,0.00175,0.037,0.019,0.594,0.08,0.015,0,13.7,0,0.54,0.0079,10,24,11,0.27,0.17,0.059,0,237,5,0
Tomatoes NS as to form cooked,1.08,4.71,1.5,0.015583333,0.043,0.022,0.683,0.112,0.013,0,15.8,0,1.02,0.0125,13,29,13,0.33,0.21,0.071,0,287,159,0
Tomatoes fresh cooked,1.08,4.71,1.5,0.015583333,0.043,0.022,0.683,0.112,0.013,0,15.8,0,1.02,0.0125,13,29,13,0.33,0.21,0.071,0,287,159,0
Tomatoes canned cooked,0.78,3.37,1.8,0.01125,0.558,0.054,0.692,0.124,0.007,0,12.2,0,0.87,0.0049,32,17,10,0.56,0.12,0.05,0.0000007,186,121,0
Tomatoes scalloped,2.7,14.1,1.9,0.035833333,0.137,0.068,1.278,0.096,0.021,0.00005,12.2,0,0.59,0.0081,37,48,17,0.89,0.36,0.091,0.0000034,253,216,0
Tomatoes canned reduced sodium cooked,0.78,3.37,1.8,0.011333333,0.558,0.054,0.692,0.124,0.007,0,12.2,0,0.87,0.0052,32,17,10,0.56,0.12,0.05,0.0000007,186,19,0
Fried green tomatoes,3.56,21.56,1.3,0.004958333,0.23,0.145,1.835,0.055,0.05,0.00004,6.2,0.0001,1.7,0.0182,29,51,12,1.43,0.33,0.074,0.0000092,147,317,0
Tomato green pickled,1,9.09,0.9,0.001041667,0.047,0.032,0.394,0.064,0.005,0,18.4,0,0.32,0.0084,12,23,8,0.43,0.06,0.076,0.0000004,169,955,0
Sun-dried tomatoes,14.11,55.76,12.3,0.001833333,0.528,0.489,9.05,0.332,0.068,0,39.2,0,0.01,0.043,110,356,194,9.09,1.99,1.423,0.0000055,3427,107,0
Tomato juice 100%,0.85,3.53,0.4,0.000958333,0.1,0.078,0.673,0.07,0.02,0,70.1,0,0.32,0.0023,10,19,11,0.39,0.11,0.042,0.0000005,217,253,0
Tomato juice 100% low sodium,0.6,4.59,0.8,0.00325,0.04,0.03,0.73,0.14,0.021,0,27.7,0,0.32,0.0053,11,17,11,0.42,0.2,0.2,0.0000005,193,58,0
Tomato juice cocktail,0.93,3.87,0.5,0.001458333,0.05,0.033,0.722,0.071,0.021,0,54.3,0,1.02,0.0061,14,19,11,0.28,0.12,0.068,0.0000002,185,169,0
Tomato and vegetable juice 100%,0.93,3.87,0.5,0.001458333,0.05,0.033,0.722,0.071,0.021,0,54.3,0,1.02,0.0061,14,19,11,0.28,0.12,0.068,0.0000002,185,169,0
Tomato and vegetable juice 100% low sodium,0.6,4.59,0.8,0.00325,0.04,0.03,0.73,0.14,0.021,0,27.7,0,0.32,0.0053,11,17,11,0.42,0.2,0.2,0.0000005,193,58,0
Ketchup,1.04,27.4,0.3,0.001083333,0.011,0.166,1.434,0.158,0.009,0,4.1,0,1.46,0.003,15,26,13,0.35,0.17,0.085,0.0000007,281,907,0
Ketchup reduced sodium,1.04,27.4,0.3,0.001083333,0.011,0.166,1.434,0.158,0.009,0,4.1,0,1.46,0.003,15,26,13,0.35,0.17,0.085,0.0000007,281,20,0
Tomato chili sauce,2.5,19.79,2.4,0.001416667,0.09,0.07,1.6,0.16,0.009,0,16,0,1.92,0.0052,20,52,12,0.8,0.16,0.13,0.0000011,370,1338,0
Salsa NFS,1.44,6.74,1.8,0.001,0.035,0.032,1.12,0.176,0.004,0,1.9,0,1.22,0.0042,28,32,15,0.42,0.2,0.065,0.0000009,258,656,0
Salsa pico de gallo,0.71,3.7,1.1,0.001041667,0.028,0.02,0.407,0.091,0.012,0,10.8,0,0.32,0.0069,11,19,9,0.23,0.13,0.047,0.0000001,157,443,0
Salsa red commercially-prepared,1.44,6.74,1.8,0.001,0.035,0.032,1.12,0.176,0.004,0,1.9,0,1.22,0.0042,28,32,15,0.42,0.2,0.065,0.0000009,258,656,0
Salsa red homemade,1.44,6.74,1.8,0.001,0.035,0.032,1.12,0.176,0.004,0,1.9,0,1.22,0.0042,28,32,15,0.42,0.2,0.065,0.0000009,258,656,0
Taco sauce,1.16,0.72,0.5,0.003083333,0.029,0.076,0.16,0.139,0.001,0,4,0,0.01,0.0002,11,21,11,1.04,0.14,0.068,0.0000004,115,570,0
Enchilada sauce red,0.62,4.87,0.5,0.0015,0.04,0.055,0.388,0.059,0.005,0,0.3,0,0.7,0.0028,7,11,6,0.67,0.09,0.031,0.0000004,101,547,0
Enchilada sauce green,1.13,6.36,1.9,0.000458333,0.046,0.036,1.615,0.083,0.008,0,12.3,0,0.43,0.0136,9,41,19,0.65,0.25,0.081,0.0000008,259,906,0
Salsa verde or salsa green,1.13,6.36,1.9,0.000458333,0.046,0.036,1.615,0.083,0.008,0,12.3,0,0.43,0.0136,9,41,19,0.65,0.25,0.081,0.0000008,259,906,0
Hot Thai sauce,1.03,16.58,0.5,0.00275,0.026,0.07,0.142,0.123,0.001,0,3.6,0,0.01,0.0002,12,18,10,0.94,0.13,0.061,0.0000005,103,2055,0
Spaghetti sauce,1.41,8.05,1.8,0.001333333,0.024,0.061,3.917,0.173,0.013,0,2,0,2.4,0.0139,27,34,18,0.78,0.2,0.081,0.0000014,319,419,0
Spaghetti sauce with added vegetables,1.42,7.43,1.8,0.001375,0.032,0.079,3.425,0.172,0.015,0,11.6,0,1.94,0.0116,23,37,18,0.8,0.26,0.109,0.000002,308,321,0
Spaghetti sauce reduced sodium,1.41,8.06,1.8,0.001375,0.024,0.061,3.917,0.173,0.013,0,2,0,2.4,0.0139,27,34,18,0.78,0.2,0.081,0.0000011,319,30,0
Spaghetti sauce fat free,1.2,5.31,1.5,0.000916667,0.024,0.065,0.991,0.098,0.009,0,7,0,1.44,0.0028,14,27,15,0.96,0.22,0.115,0.0000006,297,474,0
Vodka sauce with tomatoes and cream,1.26,3.44,1.3,0.057958333,0.255,0.067,0.655,0.079,0.006,0.00002,7.8,0.0002,0.99,0.0106,30,25,10,0.59,0.16,0.061,0.0000009,190,248,0
Barbecue sauce,0.82,40.77,0.9,0.000458333,0.023,0.056,0.597,0.075,0.002,0,0.6,0,0.8,0.0018,33,20,13,0.64,0.17,0.072,0.0000013,232,1027,0
Buffalo sauce,1.21,0.75,0.6,0.003208333,0.03,0.079,0.167,0.145,0.001,0,4.2,0,0.01,0.0002,14,22,11,1.09,0.15,0.07,0.0000005,120,2917,0
Steak sauce,1.25,22.04,1.5,0.000625,0.034,0.054,0.913,0.105,0.008,0,6.8,0,1.16,0.0022,19,33,17,1.37,0.34,0.189,0.0000008,312,1647,0
Cocktail sauce,1.36,28.22,1.8,0.00075,0.021,0.047,0.82,0.08,0.017,0,11.6,0,1.08,0.0044,26,30,17,0.83,0.38,0.111,0.0000022,309,1262,0
Puerto Rican seasoning with ham,4,7.32,1.9,0.000833333,0.086,0.055,0.863,0.204,0.014,0.00008,30.3,0.0001,2.9,0.0231,32,61,16,0.81,0.52,0.081,0.0000033,251,468,0
Puerto Rican seasoning with ham and tomato sauce,5.14,5.3,1.5,0.000791667,0.092,0.075,1.543,0.183,0.011,0.0001,29.2,0.0002,0.78,0.0122,24,64,14,0.81,0.66,0.088,0.0000045,225,471,0
Puerto Rican seasoning without ham and tomato sauce,1.06,6.96,1.8,0.001,0.049,0.037,0.394,0.198,0.016,0,42.9,0,1.84,0.0304,25,26,11,0.45,0.18,0.06,0.0000006,173,5,0
Tomato aspic,2.57,4.7,0.3,0.00075,0.08,0.067,0.533,0.059,0.018,0,58.1,0,0.26,0.0018,10,16,10,0.34,0.09,0.082,0.0000013,179,201,0
Tomato and cucumber salad made with tomato cucumber oil and vinegar,0.53,6.53,0.6,0.000541667,0.022,0.017,0.202,0.045,0.008,0,5.3,0,1.34,0.0185,11,18,9,0.23,0.13,0.033,0.0000002,135,212,0
Tomato soup NFS,0.74,7.72,0.6,0.000416667,0.021,0.008,0.435,0.044,0,0,6.5,0,0.17,0.0016,8,16,8,0.3,0.1,0.03,0.0000015,285,193,0
Tomato soup cream of prepared with milk,2.4,10.05,0.6,0.030625,0.047,0.076,0.484,0.07,0.001,0.00022,6.5,0.0006,0.19,0.0017,69,67,13,0.3,0.3,0.025,0.0000025,359,208,0
Tomato soup prepared with water or ready-to-serve,0.74,7.72,0.6,0.000416667,0.021,0.008,0.435,0.044,0,0,6.5,0,0.17,0.0016,8,16,8,0.3,0.1,0.03,0.0000015,285,193,0
Tomato soup instant type prepared with water,0.93,7.17,0.4,0.005833333,0.105,0.175,0.926,0.058,0.011,0.00006,2,0,0.22,0.0008,29,33,10,0.18,0.13,0.034,0.0000011,111,356,0
Tomato soup canned reduced sodium prepared with water or ready-to-serve,0.82,6.8,0.6,0.000416667,0.02,0.032,0.524,0.044,0,0,6.5,0,0.17,0.0016,8,15,8,0.56,0.13,0.086,0.0000026,116,13,0
Tomato soup canned reduced sodium prepared with milk,2.47,9.14,0.6,0.030625,0.045,0.1,0.571,0.07,0.001,0.00022,6.5,0.0006,0.19,0.0017,69,66,13,0.56,0.34,0.08,0.0000035,193,30,0
Tomato beef soup prepared with water,1.78,8.44,0.6,0.0015,0.034,0.036,0.745,0.035,0.008,0.00008,0,0,0.31,0,9,23,3,0.45,0.3,0.055,0.000002,88,367,0
Tomato beef noodle soup prepared with water,1.78,8.44,0.6,0.0015,0.034,0.036,0.745,0.035,0.008,0.00008,0,0,0.31,0,9,23,3,0.45,0.3,0.055,0.000002,88,367,0
Tomato beef rice soup prepared with water,1.78,8.44,0.6,0.0015,0.034,0.036,0.745,0.035,0.008,0.00008,0,0,0.31,0,9,23,3,0.45,0.3,0.055,0.000002,88,367,0
Tomato noodle soup canned prepared with water or ready-to-serve,1.66,11.82,0.7,0.001375,0.086,0.039,0.829,0.043,0.021,0.00002,4.7,0,0.17,0.0011,9,30,10,0.58,0.23,0.046,0.000007,216,141,0
Tomato noodle soup canned prepared with milk,2.7,12.16,0.6,0.027458333,0.083,0.084,0.707,0.069,0.012,0.00025,5.6,0.0005,0.18,0.0015,61,68,14,0.46,0.35,0.036,0.0000055,314,180,0
Tomato rice soup prepared with water,0.82,8.54,0.7,0.0015,0.024,0.02,0.411,0.03,0.006,0,5.8,0,0.86,0.0015,11,13,2,0.31,0.2,0.055,0.0000009,129,319,0
Tomato vegetable soup prepared with water,0.74,7.72,0.6,0.000416667,0.021,0.008,0.435,0.044,0,0,6.5,0,0.17,0.0016,8,16,8,0.3,0.1,0.03,0.0000015,285,193,0
Tomato vegetable soup with noodles prepared with water,0.86,4.89,0.3,0.002958333,0.022,0.019,0.374,0.023,0.004,0,0.6,0,0.58,0.0021,10,14,3,0.44,0.19,0.055,0.0000018,86,338,0
Tomato sandwich,4.66,23.61,1.6,0.001875,0.243,0.117,2.371,0.079,0.057,0.00001,6.2,0,0.58,0.0163,99,63,17,1.64,0.48,0.083,0.0000104,165,259,0
Raw vegetable NFS,1.33,5.77,2,0.009666667,0.049,0.063,0.634,0.117,0.033,0,28,0,0.56,0.038,32,37,14,0.38,0.24,0.047,0.0000008,283,47,0
Sprouts NFS,3.04,5.94,1.8,4.17E-05,0.084,0.124,0.749,0.088,0.061,0,13.2,0,0.1,0.033,13,54,21,0.91,0.41,0.164,0.0000006,149,6,0
Alfalfa sprouts raw,3.99,2.1,1.9,0.000333333,0.076,0.126,0.481,0.034,0.036,0,8.2,0,0.02,0.0305,32,70,27,0.96,0.92,0.157,0.0000006,79,6,0
Artichoke raw,2.89,11.95,5.7,4.17E-05,0.05,0.089,1.11,0.081,0.089,0,7.4,0,0.19,0.0148,21,73,42,0.61,0.4,0.127,0.0000002,286,60,0
Asparagus raw,2.2,3.88,2.1,0.001583333,0.143,0.141,0.978,0.091,0.052,0,5.6,0,1.13,0.0416,24,52,14,2.14,0.54,0.189,0.0000023,202,2,0
Bean sprouts raw,3.04,5.94,1.8,4.17E-05,0.084,0.124,0.749,0.088,0.061,0,13.2,0,0.1,0.033,13,54,21,0.91,0.41,0.164,0.0000006,149,6,0
Green beans raw,1.83,6.97,2.7,0.001458333,0.082,0.104,0.734,0.141,0.033,0,12.2,0,0.41,0.043,37,38,25,1.03,0.24,0.069,0.0000006,211,6,0
Beets raw,1.61,9.56,2.8,8.33E-05,0.031,0.04,0.334,0.067,0.109,0,4.9,0,0.04,0.0002,16,40,23,0.8,0.35,0.075,0.0000007,325,78,0
Broccoflower raw,2.95,6.09,3.2,0.000333333,0.08,0.102,0.734,0.222,0.057,0,88.1,0,0.04,0.0202,33,62,20,0.73,0.64,0.041,0.0000006,300,23,0
Brussels sprouts raw,3.38,8.95,3.8,0.001583333,0.139,0.09,0.745,0.219,0.061,0,85,0,0.88,0.177,42,69,23,1.4,0.42,0.07,0.0000016,389,25,0
Cabbage green raw,1.28,5.8,2.5,0.000208333,0.061,0.04,0.234,0.124,0.043,0,36.6,0,0.15,0.076,40,26,12,0.47,0.18,0.019,0.0000003,170,18,0
Cabbage Chinese raw,1.5,2.18,1,0.009291667,0.04,0.07,0.5,0.194,0.066,0,45,0,0.09,0.0455,105,37,19,0.8,0.19,0.021,0.0000005,252,65,0
Cabbage red raw,1.43,7.37,2.1,0.002333333,0.064,0.069,0.418,0.209,0.018,0,57,0,0.11,0.0382,45,30,16,0.8,0.22,0.017,0.0000006,243,27,0
Cactus raw,1.32,3.33,2.2,0.000958333,0.012,0.041,0.41,0.07,0.003,0,9.3,0,0,0.0053,164,16,52,0.59,0.25,0.052,0.0000007,257,21,0
Cauliflower raw,1.92,4.97,2,0,0.05,0.06,0.507,0.184,0.057,0,48.2,0,0.08,0.0155,22,44,15,0.42,0.27,0.039,0.0000006,299,30,0
Celery raw,0.69,2.97,1.6,0.000916667,0.021,0.057,0.32,0.074,0.036,0,3.1,0,0.27,0.0293,40,24,11,0.2,0.13,0.035,0.0000004,260,80,0
Fennel bulb raw,1.24,7.3,3.1,0.002,0.01,0.032,0.64,0.047,0.027,0,12,0,0.58,0.0628,49,50,17,0.73,0.2,0.066,0.0000007,414,52,0
Basil raw,3.15,2.65,1.6,0.011,0.034,0.076,0.902,0.155,0.068,0,18,0,0.8,0.4148,177,56,64,3.17,0.81,0.385,0.0000003,295,4,0
Chives raw,3.27,4.35,2.5,0.009083333,0.078,0.115,0.647,0.138,0.105,0,58.1,0,0.21,0.2127,92,58,42,1.6,0.56,0.157,0.0000009,296,3,0
Cilantro raw,2.13,3.67,2.8,0.014041667,0.067,0.162,1.114,0.149,0.062,0,27,0,2.5,0.31,67,48,26,1.77,0.5,0.225,0.0000009,521,46,0
Corn raw,3.27,18.7,2,0.000375,0.155,0.055,1.77,0.093,0.042,0,6.8,0,0.07,0.0003,2,89,37,0.52,0.46,0.054,0.0000006,270,15,0
Cucumber raw,0.65,3.63,0.5,0.000208333,0.027,0.033,0.098,0.04,0.007,0,2.8,0,0.03,0.0164,16,24,13,0.28,0.2,0.041,0.0000003,147,2,0
Eggplant raw,0.98,5.88,3,4.17E-05,0.039,0.037,0.649,0.084,0.022,0,2.2,0,0.3,0.0035,9,24,14,0.23,0.16,0.081,0.0000003,229,2,0
Garlic raw,6.36,33.06,2.1,0,0.2,0.11,0.7,1.235,0.003,0,31.2,0,0.08,0.0017,181,153,25,1.7,1.16,0.299,0.0000142,401,17,0
Jicama raw,0.72,8.82,4.9,4.17E-05,0.02,0.029,0.2,0.042,0.012,0,20.2,0,0.46,0.0003,12,18,12,0.6,0.16,0.048,0.0000007,150,4,0
Kohlrabi raw,1.7,6.2,3.6,8.33E-05,0.05,0.02,0.4,0.15,0.016,0,62,0,0.48,0.0001,24,46,19,0.4,0.03,0.129,0.0000007,350,20,0
Leek raw,1.5,14.15,1.8,0.003458333,0.06,0.03,0.4,0.233,0.064,0,12,0,0.92,0.047,59,35,28,2.1,0.12,0.12,0.000001,180,20,0
Lettuce raw,1.13,2.92,1.2,0.00825,0.056,0.053,0.249,0.066,0.034,0,6,0,0.2,0.0752,27,24,10,0.64,0.16,0.027,0.0000004,168,19,0
Lettuce Boston raw,1.33,2.26,0.9,0.015625,0.064,0.077,0.321,0.1,0.036,0,3.7,0,0.15,0.1403,33,28,12,1.2,0.2,0.028,0.0000015,187,25,0
Lettuce arugula raw,2.58,3.65,1.6,0.004958333,0.044,0.086,0.305,0.073,0.097,0,15,0,0.43,0.1086,160,52,47,1.46,0.47,0.076,0.0000003,369,27,0
Mixed salad greens raw,1.61,2.93,1.4,0.012916667,0.064,0.093,0.386,0.107,0.074,0,11,0,0.64,0.1934,46,32,28,1.3,0.26,0.053,0.0000008,270,36,0
Mushrooms raw,3.09,3.26,1,0,0.081,0.402,3.607,0.104,0.017,0.00004,2.1,0.0002,0.01,0,3,86,9,0.5,0.52,0.318,0.0000093,318,5,0
Onions green raw,1.83,7.34,2.6,0.002083333,0.055,0.08,0.525,0.061,0.064,0,18.8,0,0.55,0.207,72,37,20,1.48,0.39,0.083,0.0000006,276,16,0
Onions raw,1.1,9.34,1.7,0,0.046,0.027,0.116,0.12,0.019,0,7.4,0,0.02,0.0004,23,29,10,0.21,0.17,0.039,0.0000005,146,4,0
Parsley raw,2.97,6.33,3.3,0.017541667,0.086,0.098,1.313,0.09,0.152,0,133,0,0.75,1.64,138,58,50,6.2,1.07,0.149,0.0000001,554,56,0
Green peas raw,5.42,14.45,5.7,0.001583333,0.266,0.132,2.09,0.169,0.065,0,40,0,0.13,0.0248,25,108,33,1.47,1.24,0.176,0.0000018,244,5,0
Pepper hot chili raw,1.39,7.66,2.2,0.002125,0.056,0.078,1.262,0.463,0.025,0,131.2,0,2.13,0.0162,13,34,19,0.64,0.2,0.088,0.0000004,285,6,0
Pepper poblano raw,0.86,4.64,1.7,0.00075,0.057,0.028,0.48,0.224,0.01,0,80.4,0,0.37,0.0074,10,20,10,0.34,0.13,0.066,0,175,3,0
Pepper Serrano raw,1.74,6.7,3.7,0.001958333,0.054,0.081,1.537,0.505,0.023,0,44.9,0,0.69,0.0118,11,40,22,0.86,0.26,0.129,0.0000004,305,10,0
Pepper raw NFS,0.91,5.13,1.8,0.002791667,0.056,0.048,0.655,0.247,0.023,0,97,0,0.79,0.0065,9,22,11,0.37,0.17,0.049,0,188,3,0
Pepper sweet green raw,0.86,4.64,1.7,0.00075,0.057,0.028,0.48,0.224,0.01,0,80.4,0,0.37,0.0074,10,20,10,0.34,0.13,0.066,0,175,3,0
Pepper sweet red raw,0.99,6.03,2.1,0.006541667,0.054,0.085,0.979,0.291,0.046,0,127.7,0,1.58,0.0049,7,26,12,0.43,0.25,0.017,0.0000001,211,4,0
Pepper banana raw,1.66,5.35,3.4,0.000708333,0.081,0.054,1.242,0.357,0.029,0,82.7,0,0.69,0.0095,14,32,17,0.46,0.25,0.094,0.0000003,256,13,0
Radish raw,0.68,3.4,1.6,0,0.012,0.039,0.254,0.071,0.025,0,14.8,0,0,0.0013,25,20,10,0.34,0.28,0.05,0.0000006,233,39,0
Rutabaga raw,1.08,8.62,2.3,0,0.09,0.04,0.7,0.1,0.021,0,25,0,0.3,0.0003,43,53,20,0.44,0.24,0.032,0.0000007,305,12,0
Seaweed raw,3.51,7.94,0.7,0.003958333,0.069,0.275,1.18,0.054,0.174,0,15,0,0.96,0.0251,129,60,77,2.28,0.89,0.226,0.0000007,165,384,0
Snowpeas raw,2.8,7.55,2.6,0.00225,0.15,0.08,0.6,0.16,0.042,0,60,0,0.39,0.025,43,53,24,2.08,0.27,0.079,0.0000007,200,4,0
Summer squash yellow raw,1.01,3.88,1,0.000333333,0.051,0.041,0.448,0.104,0.019,0,19.3,0,0.13,0.0032,21,32,20,0.44,0.29,0.092,0.0000002,222,2,0
Summer squash green raw,1.21,3.11,1,0.000416667,0.045,0.094,0.451,0.163,0.024,0,17.9,0,0.12,0.0043,16,38,18,0.37,0.32,0.053,0.0000002,261,8,0
Turnip raw,0.9,6.43,1.8,0,0.04,0.03,0.4,0.09,0.015,0,21,0,0.03,0.0001,30,27,11,0.3,0.27,0.085,0.0000007,191,67,0
Mixed vegetable juice,0.82,6.12,1.2,0.020375,0.056,0.056,0.353,0.146,0.02,0,5.8,0,0.72,0.0224,32,33,12,0.33,0.16,0.04,0.0000005,276,73,0
