Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Beef potatoes and vegetables excluding carrots broccoli and dark-green leafy; cream sauce white sauce or mushroom sauce,5.33,12.2,1.3,0.005333333,0.061,0.055,1.408,0.179,0.01,0.00025,3.6,0.0001,0.66,0.0137,21,62,16,0.57,0.87,0.09,0.0000049,223,303,0
Beef potatoes and vegetables including carrots broccoli and/or dark-green leafy; tomato-based sauce,5.33,11.13,1.7,0.003458333,0.065,0.056,1.591,0.212,0.013,0.00022,8.7,0,1.29,0.0173,14,56,17,0.82,0.9,0.121,0.0000045,280,310,0
Beef potatoes and vegetables excluding carrots broccoli and dark-green leafy; tomato-based sauce,5.39,12.28,1.6,0.000333333,0.063,0.059,1.669,0.208,0.013,0.00022,5.7,0,1.05,0.0113,12,59,19,0.82,0.92,0.121,0.0000045,286,305,0
Beef potatoes and vegetables including carrots broccoli and/or dark-green leafy; cheese sauce,8.14,11.82,1.4,0.026333333,0.074,0.108,1.467,0.21,0.014,0.00033,7.4,0.0003,0.3,0.0107,96,115,19,0.69,1.24,0.102,0.0000064,253,304,0
Beef potatoes and vegetables excluding carrots broccoli and dark-green leafy; cheese sauce,8.17,12.97,1.3,0.023041667,0.072,0.111,1.541,0.205,0.013,0.00033,4.2,0.0003,0.1,0.005,94,117,21,0.69,1.26,0.101,0.0000064,259,305,0
Beef potatoes and vegetables including carrots broccoli and/or dark-green leafy; soy-based sauce,11.77,6.08,1.1,0.003875,0.06,0.09,2.317,0.244,0.017,0.00059,11,0,1.02,0.0294,22,96,18,1.22,1.96,0.07,0.0000116,241,245,0
Beef potatoes and vegetables excluding carrots broccoli and dark-green leafy; soy-based sauce,11.69,5.86,1,0.00025,0.06,0.099,2.503,0.246,0.014,0.00059,10.4,0,0.91,0.0211,18,94,18,1.3,1.96,0.099,0.0000119,231,236,0
Beef noodles and vegetables including carrots broccoli and/or dark-green leafy; no sauce,8.71,16.71,1.5,0.008666667,0.197,0.125,2.322,0.126,0.06,0.00036,5.1,0.0001,0.72,0.0151,17,90,19,1.48,1.4,0.086,0.0000203,109,317,0
Beef noodles and vegetables excluding carrots broccoli and dark-green leafy; no sauce,8.78,18.29,1.4,0.004291667,0.195,0.13,2.428,0.12,0.059,0.00036,0.9,0.0001,0.42,0.0072,14,94,22,1.48,1.44,0.085,0.0000203,116,300,0
Beef chow mein or chop suey with noodles,10.78,11.17,1.5,0.001375,0.104,0.19,3.171,0.281,0.04,0.00058,4.2,0,0.48,0.0123,19,108,12,1.87,1.52,0.051,0.0000116,204,328,0
Beef noodles and vegetables including carrots broccoli and/or dark-green leafy; soy-based sauce,10.34,7.72,1.2,0.004958333,0.051,0.083,1.932,0.2,0.017,0.0005,12.7,0,0.96,0.0306,23,86,15,1.08,1.72,0.054,0.0000107,203,216,0
